Description,*Business Unit
Risk Management - Workers Comp,G0213
Financial Mgmt & Reporting,G0214
Data Practices Office,G0215
Admin FMR Smart,G0216
Admin HR Smart,G0217
Admin Demography,G0218
State Hist Preservation Office,G0219
Office of State Archaeology,G0220
Lottery,G0301
Racing Commission,G0501
Attorney General,G0601
Gambling Control Board,G0901
Minnesota Management & Budget,G1001
SEGIP,G1002
Admin Cap Project & Relocation,G1601
Human Rights Department,G1701
Indian Affairs Council,G1901
Investment Board,G3801
Governors Office,G3901
Mediation Services Department,G4501
MN.IT,G4601
Secretary of State,G5301
Office of State Auditor,G6101
Minn State Retirement System,G6201
Public Employees Retire Assoc,G6301
PERA - US BANK,G6302
Revenue Department,G6701
Teachers Retirement Assoc,G6901
MN Secure Choice Retirement Bd,G7001
MMB Higher Education,G8H01
MMB Intergovernmental Aids,G8S01
Revenue Intergovt Payments,G9001
Ombudsperson for Families,G9201
Ombud American Indian Families,G9301
Uniform Laws Commission,G9601
Campaign Finance Board,G9J01
Administrative Hearings,G9K01
Council for Minnesotans of Afr,G9L01
Minnesota Council on Latino Af,G9M01
Asian Pacific Council,G9N01
LGBTQIA2S+ Minnesotans Council,G9P01
MMB Debt Service,G9Q01
MMB Non-Operating,G9R01
MMB Treasury Non Operating,G9T01
Rare Disease Advisory Council,G9V01
Capitol Area Architect,G9X01
MN State Council on Disability,G9Y01
ACH Clearing,GCA01
MNDOT Metro District GV,GF000
MNDOT Metro Dist. Cedar Fuel,GF110
MNDOT Metro Dist. GV Mech,GF111
MNDOT Metro Dist. Shak Fuel,GF129
MNDOT Metro Dist. Camden Fuel,GF130
MNDOT Metro Dist. GV Fuel,GF131
MNDOT Metro Dist. Jordan Fuel,GF133
MNDOT Metro Dist. Anoka Fuel,GF140
MNDOT Metro Dist. PLY Fuel,GF163
MNDOT Metro Dist. SLP Fuel,GF179
MNDOT Metro Dist. EP Fuel,GF186
MNDOT Metro Dist. MG Fuel,GF187
MNDOT Metro Dist. EP Fuel,GF196
MNDOT Metro Dist Chaska Mech,GF222
MNDOT Metro Dist. Camden TS,GF333
MNDOT Metro Dist. EP TS,GF444
MNDOT Metro Dist. Cedar Mech,GF555
MAPLE GROVE FIELD MECH TRUCK,GF665
MNDOT Metro Dist. MG TS,GF666
MNDOT Metro Dist GF Mech TR,GF667
MNDOT Metro Dist. PLY TS,GF777
MNDOT METRO DIST. SLP TS,GF888
MNDOT Metro Dist. Cedar TS,GF910
MNDOT Metro Dist Chaska Maint,GF926
MNDOT Metro Dist. Shak TS,GF929
MNDOT Metro Dist. Camden TS,GF930
MNDOT Metro Dist GV TS,GF931
MNDOT Metro Dist. Jordan TS,GF933
MNDOT Metro Dist. Anoka TS,GF940
MNDOT Metro Dist PLY TS,GF963
MNDOT Metro Dist. SLP TS,GF979
MNDOT Metro Dist. EP TS,GF986
MNDOT Metro Dist. MG TS,GF987
MNDOT Metro Dist. GV Sign,GF999
Payroll Clearing,GPR01
Health Department,H1201
Direct Care and Treatment,H5101
DCT Billing,H5110
MSI Billing,H5111
Human Services Department,H5501
Grants and Projects,H5502
HealthCare Recoveries,H5503
Other Counties and Tribes,H5504
Parent Fees,H5505
Parent Usage,H5506
Estate Claims,H5507
Licensing,H5508
DHS Other,H5509
SOS Business Office,H5510
MSOP Business Office,H5511
MAEPD,H5512
Alternative Care,H5513
MSHO,H5514
MDHO,H5515
Special Needs Basic Care,H5516
Nursing Home Surcharge,H5517
Hospital Surcharge,H5518
HMO Surcharge,H5519
ICFDD Surcharge,H5520
ECPN,H5521
SIRS,H5522
MinnesotaCare Operations,H5523
NSR,H5524
MinnesotaCare Overpayments,H5525
PROVIDER CREDIT BALANCES,H5526
DHS - DOR Collections,H5599
Children Youth & Families Dept,H5801
MN Insurance Marketplace,H6001
MNsure,H6002
Veterans Affairs Department,H7501
Medical Practice Board,H7B01
Nursing Board,H7C01
Pharmacy Board,H7D01
Dentistry Board,H7F01
Chiropractic Examiners Board,H7H01
Optometry Board,H7J01
Exec for LT Svcs & Supports Bd,H7K01
Social Work Board,H7L01
Marriage and Family Therapy Bd,H7M01
Podiatric Medicine,H7Q01
Veterinary Medicine Board,H7R01
Emergency Medical Services Off,H7S01
Dietetics & Nutrition Practice,H7U01
Psychology Board,H7V01
Physical Therapy Board,H7W01
Behavioral Health & Therapy Bd,H7X01
Occupational Therapy Pract Bd,H7Y01
Foster Youth Ombudsperson,H8A01
Emergency Medical Services Off,H8S01
Ombudsman MH/DD,H9G01
Trial Courts,J3301
STATE COMPETENCY ATTAINMENT BD,J4001
State Guardian Ad Litem,J5001
Public Defense Board,J5201
Court of Appeals,J5801
Appellate Counsel & Trg Office,J6101
State Board of Civil Legal Aid,J6301
Supreme Court,J6501
Tax Court,J6801
Judicial Standards Board,J7001
Legislature Coordinating Comm,L1001
Senate,L1101
House,L1201
Legislative Auditor,L4901
MDH/MDA Lab,LAB00
MNDOT District 7 Mankato,MK000
MNDOT District 7 Blue Earth TS,MK415
MNDOT District 7 Wells TS,MK416
MNDOT District 7 St. Peter TS,MK418
MNDOT District 7 Waseca TS,MK421
MNDOT District 7 Mapleton TS,MK423
MNDOT District 7 Courtland TS,MK424
MNDOT District 7 LeSueur TS,MK430
MNDOT District 7 Montgomery TS,MK437
MNDOT District 7 Gaylord TS,MK438
MNDOT District 7 Green Isle TS,MK492
MNDOT District 7 Field Mech,MK494
MNDOT District 7 Mankato Yard,MK700
MNDOT District 7 Watervil Salt,MK717
MNDOT District 7 Alden Salt,MK718
MNDOT District 7 Mankato Brg,MK997
MNDOT Dist 7 Mankato Sign Shop,MK999
MNDOT District 8 Marshall,ML000
MNDOT District 8 Marshall Sign,ML999
State of Minnesota,MN001
MNDOT District 4 Morris,MO000
MNDOT District 4 Wheaton Pit,MO781
MNDOT District 4 Graceville Pi,MO782
MNDOT DISTRICT 4 BRUSHVALE PIT,MO783
MNDOT District 4 Appleton,MO802
MNDOT District 4 Wheaton,MO806
MNDOT District 4 Beardsley,MO807
MNDOT District 4 Glenwood,MO808
MNDOT District 4 Barrett Salt,MO809
MNDOT District 4 Evansville,MO816
MNDOT District 4 Alexanndria,MO818
MNDOT District 4 Ortonville,MO819
MNDOT District 4 Morris HQ,MO820
MNDOT District 4 Morris Cold,MO821
MNDOT District 4 Benson,MO822
MNDOT District 4 Morris Bldg,MO900
MNDOT District 4 Morris East,MO907
MNDOT District 4 Morris West,MO908
MNDOT District 4 Alexandria,MO918
MNDOT District 4 Sign Shop,MO999
MNDOT Metro Dist. Oakdale,OD000
MNDOT Metro Dist Maryland Mech,OD111
MNDOT Metro Dist Maplewood,OD117
MNDOT Metro Dist. AH TS,OD118
MNDOT Metro Dist Oak TS,OD138
